,눈썹_길이,눈썹_굵기,눈썹_기울기,눈_세로길이,눈_가로길이,비율,눈_눈꼬리기울기,얼굴비율,코_길이,코_폭,콧볼_폭,입_크기,입_윗입술(두께),입_아랫입술(두께),입_입꼬리,턱기울기1,턱기울기2,턱아래면적
1377,68.0,8.0,0.0,16.333333333333332,40.0,0.4083333333333333,-0.01282051282051282,0.9051383399209486,75,42,62,1610.82,9.67,12.67,0.03,2.46930848256582,0.386289639508332,0.516432144656567
1378,66.0,7.166666666666666,0.043478260869565216,25.166666666666668,39.5,0.6371308016877637,0.02628205128205128,0.9636363636363636,64,42,58,1432.62,9.33,11.0,-0.03,2.26515778954022,0.297758662133182,0.418463943194118
1379,65.5,7.333333333333334,0.07246376811594203,25.333333333333336,40.0,0.6333333333333334,0.012500000000000004,0.9585253456221198,69,40,58,987.53,5.67,9.0,0.14,2.12631065101690,0.432087955736827,0.472082181166906
1380,64.5,7.166666666666666,0.015384615384615385,21.333333333333332,39.0,0.547008547008547,-0.0006578947368421038,0.8879668049792531,68,43,63,1730.14,11.0,13.67,0.03,2.65480151515816,0.464607990932230,0.504952761011620
1381,62.5,8.0,0.016129032258064516,25.166666666666668,37.5,0.6711111111111111,0.0032051282051282007,0.8185328185328186,79,40,56,1570.79,9.67,12.67,0.03,2.72835353941293,0.369310999317810,0.555978696251844
1382,56.0,6.5,0.05172413793103448,24.666666666666668,34.5,0.7149758454106281,-0.000840336134453782,0.8416289592760181,66,36,51,1205.76,9.67,11.67,0.03,2.78825530111257,0.404359444017188,0.378355595092018
1383,69.5,8.5,0.06666666666666667,31.666666666666664,43.5,0.7279693486590038,-0.012684989429175474,0.8403041825095057,82,47,69,1868.3,9.67,14.0,0.15,2.54004252718296,0.592195403925196,0.642945996748399
1384,64.5,7.666666666666667,0.08823529411764706,27.0,40.5,0.6666666666666666,0.025914634146341466,0.8744939271255061,80,41,59,1489.93,8.33,12.67,0.14,2.50929697209247,0.499369663559113,0.595697319792893
1385,60.0,7.666666666666667,0.09836065573770492,28.333333333333332,37.5,0.7555555555555555,-0.011735419630156466,0.8772727272727273,70,37,51,1083.3,6.33,10.33,0.15,2.26611344848889,0.462923686704255,0.454106484122641
1386,64.0,8.0,0.07575757575757576,29.5,40.0,0.7375,0.0,0.8007968127490039,78,44,62,1775.67,9.67,14.0,0.16,2.55128592813676,0.603711174298745,0.564628888069148
